ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
MA;Paço do Lumiar, São José do Ribamar, São Luís;1:1.000;Perfilamento a Laser;195/2018;AEROSAT;168/2018
SC;Florianópolis, Biguaçu, Antônio Carlos;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;204/2018;AEROSAT;166/2018
MG;Itabira, Brumadinho, Mario Campos, Betim, São Joaquim de Bicas, Igarapé, Juatuba, Barão de Cocais, São Gonçalo do Rio Abaixo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;217/2018;AEROSAT;169/2018
RJ;Campos dos Goytacazes, Cardoso Moreira;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;224/2018;AEROSAT;170/2018
ES;Alegre, Mimoso do Sul, Muniz Freire, Muqui, Jerônimo Monteiro, Iuna, Ibatiba;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;224/2018;AEROSAT;170/2018
MG;Mutum, Lajinha;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;224/2018;AEROSAT;170/2018
MA;Campestre do Maranhão, Davinópolis, Governador Edison Lobão, Imperatriz, João Lisboa, Porto Franco, Ribamar Fiquene, Senador La Rocque;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;226/2018;AEROSAT;172/2018
BA;Cafarnaum, Morro do Chapéu;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;226/2018;AEROSAT;172/2018
PR;General Carneiro, Palmas, Coronel Domingos Soares;GSD 25 cm;Aerofotogrametria ;253/2018;AEROSAT;175/2018
SC;Água Doce;GSD 25 cm;Aerofotogrametria ;253/2018;AEROSAT;175/2018
RJ;Maricá, Tanguá, Itaboraí, Rio Bonito;GSD 10 cm ;Aerofotogrametria e Perfilamento a laser;023/2019;AEROSAT;176/2019
PR;União da Vitória, Paula Freitas, Paulo Frontin, Mallet;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;072/2019;AEROSAT;179/2019
MG;Paracatu, Viçosa, Teixeiras, Amparo da Serra, Pedra da Anta, Jequeri, Santo Antonio do Gama, Abre Campo, Matipó, Santa Margarida, Orizânia, Carangola, Divino;GSD 10 cm;Aerofotogrametria e perfilamento a laser;089/2019;AEROSAT;181/2019
RJ;Silva Jardim, Araruama, Casimiro de Abreu, Rio das Ostras, Cabo Frio, São Pedro da Aldeia;GSD 25 cm;Aerofotogrametria e perfilamento a laser;094/2019;AEROSAT;183/2019
SP;Mogi-Guaçu, Arujá, São Caetano do Sul;GSD 10 cm;Aerofotogrametria e perfilamento a laser;090/2019;AEROSAT;182/2019
MG;Águas Formosas, Novo Oriente de Minas, Caraí, Padre Paraíso;GSD 10 cm;Aerofotogrametria e perfilamento a laser;104/2019;AEROSAT;184/2019
MG;Ouro Preto, Ouro Branco, Congonhas, Barão de Cocais, Santa Bárbara;GSD 10 cm;Aerofotogrametria e perfilamento a laser;105/2019;AEROSAT;185/2019
MG;Nova Lima;GSD 10 cm;Aerofotogrametria e perfilamento a laser;123/2019;AEROSAT;187/2019
MG;Araxá, Sacramento, Perdizes, Santa Juliana, Nova Ponte, Uberaba, Uberlândia;GSD 10 cm;Aerofotogrametria e perfilamento a laser;144/2019;AEROSAT;190/2019
AC;Rio Branco, Bujari, Sena Madureira, Manoel Urbano, Feijó, Tarauacá, Cruzeiro do Sul, Rodrigues Alves;GSD 10 cm;Aerofotogrametria e perfilamento a laser;145/2019;AEROSAT;191/2019
AM;Ipixuna, Guarujá;GSD 10 cm;Aerofotogrametria e perfilamento a laser;145/2019;AEROSAT;191/2019
MT;Claudia, Itauba, Nova Santa Helena, Colider, Terra Nova do Norte, Peixoto de Azevedo, Matupá, Guarantã do Norte, Novo Mundo;GSD 10 cm;Aerofotogrametria e perfilamento a laser;143/2019;AEROSAT;192/2019
