ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
PR;Adrianópolis, Arapoti, Cândido de Abreu, Cantagalo, Castro, Cerro Azul , Congonhinhas, Ciriúva, Doutor Ulysses, Faxinal, Figueira, Grandes Rios, Guarapuava,Ibaiti, Inácio Martins, Ipiranga, Irati, Ivaí, Ivaiporã, Jaboti, Jaguariaíva, Japira, Londrina, Mauá da Serra, Nova Fátima, Ortigueira, Pinhalão, Piraí do Sul, Ponta Grossa, Prudentópolis, Reserva, Ribeirão do Pinhal, Rio Azul, Rosário do Ivaí, Santa Maria do Oeste, Santo Antônio do Paraíso, São Jerônimo da Serra, São José da Boa Vista, Sapopema, Sangés, Telêmaco Borba, Tibagi, Tomazina, Turvo, Ventania, Wenceslau Brás;1:8.000;Perfilamento a Laser;088/2018;FOTOTERRA;FPR003/2018
AP;Macapá;1:10.000;Perfilamento a Laser;193/2018;FOTOTERRA;FPR052018
PA;Soure, Salvaterra, São Caetano de Odivelas, Curuçá, Vigia;1:10.000;Perfilamento a Laser;193/2018;FOTOTERRA;FPR052018
MA;Turiaçu, Bacuri;1:10.000;Perfilamento a Laser;193/2018;FOTOTERRA;FPR052018
SC;Curitibanos, São José de Cerrito, Cerro Negro,  Campo Belo do Sul, Lajes, Correia Pinto, Ponte Alta, Otacílio Costa;GSD 10 cm ;Perfilamento a Laser;081/2019;FOTOTERRA;FPR004/2019
BA;Belmonte, Canavieiras, Eunápolis, Itapebi, Mascote, Potiraguá, Santa Cruz Cabrália, Santa Luzia;GSD 50 cm;Perfilamento a Laser;046/2019;FOTOTERRA;FPR 02/2019
ES;Vila Pavão, Vila Venécia, São Mateus;GSD 10 cm;Aerofotogrametria e perfilamento a laser;128/2019;FOTOTERRA;FPR 08/2019
SP;Estrela do Norte, Pirapozinho, Narandiba, Anhumas, Rancharia, João Ramalho, Paraguaçu Paulista, Maracaí;GSD 50 cm p dados LiDAR e 20 cm para ortofotos;Aerofotogrametria e perfilamento a laser;048/2019;FOTOTERRA;FPR 03/2019
MS;Corumbá;GSD 35 cm;Aerofotogrametria e perfilamento a laser;188/2019;FOTOTERRA;FPR 10/2019
MG;Açucena, Belo Oriente, Bom Jesus do Galho, Bugre, Carantinga, Iapu, Ipaba, Ipatinga, Mesquita, Naque, Santana do Paraíso, Timóteo;Não Aplicável;Perfilamento a Laser;206/2019;FOTOTERRA;FPR 013/2019
PR;Telêmaco Borba;GSD 100 cm;Aerofotogrametria;079/2019;FOTOTERRA;FPR05/2019
SC;Campos Novos;GSD 10 cm;Aerofotogrametria ;137/2018;GEODADOS;003/2018
BA;Guanambi;GSD 10 cm;Aerofotogrametria ;244/2018;GEODADOS;007/2018
MG;Bambuí;GSD 10 cm;Aerofotogrametria ;257/2018;GEODADOS;008/2018
PR;Prudentópolis;GSD 10 cm;Aerofotogrametria ;043/2019;GEODADOS;001/2019
SC;Joaçaba;GSD 10 cm ;Aerofotogrametria ;052/2019;GEODADOS;003/2019
BA;Camaçari, Cotegipe;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;060/2017;GEOID;001/2017
PE;Angelim, Garanhuns;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;061/2017;GEOID;002/2017
PR;Cianorte, Tuneiras do Oeste, Tapejara, Cruzeiro do Oeste, Umuarama;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;196/2017;GEOID;004/2017
PB;Campina Grande, Goianinha;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;059/2017;GEOID;003/2017
PR;Cianorte, Tuneiras do Oeste, Tapejara, Cruzeiro do Oeste, Umuarama;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;132/2018;GEOID;002/2018
MG;Muriaé, Patrocínio do Muriaé, Eugenópolis, Cataguases, Itamarati de Minas, Leopoldina, Recreio, Palma, Laranjal, Rio Preto;GSD 10 cm;Aerofotogrametria e perfilamento a laser;053/2019;GEOID;001/2019
RJ;Valença;GSD 10 cm;Aerofotogrametria e perfilamento a laser;053/2019;GEOID;001/2019
PR;Curitiba, Colombo, Pinhais, Piraquara, São José dos Pinhais, Campo Largo, Campo Magro , Almirante Tamandaré;GSD 10 cm;Aerofotogrametria;131/2019;GEOJÁ;002/2019
SC;Florianópolis, Biguaçu, São José, Palhoça, Santo Amaro da Imperatriz;GSD 10 cm ;Aerofotogrametria;132/2019;GEOJÁ;003/2019
SP;São Paulo, Franco da Rocha, Campo Limpo Paulista, Atibaia, Francisco Morato, Mairiporã;1:5.000;Aerofotogrametria;164/2019;GEOJÁ;004/2019
SP;Bertioga;GSD 10 cm;Aerofotogrametria;195/2019;GEOJÁ;007/2019
RJ;Rio de Janeiro, Nova Iguaçu, Duque de Caxias. São Gonçalo, Niterói, Mesquita, São João do Meriti, Nilópolis;GSD 10 cm;Aerofotogrametria;285/2019;GEOJÁ;016/2019
SP;Santos, Cubatão, Guarujá, Praia Grande, São Vicente;GSD 10 cm;Aerofotogrametria;284/2019;GEOJÁ;015/2019
SP;Campinas, Monte Mor, Hortolândia, Valinhos, Sumaré, Nova Odessa, Paulínia;GSD 10 cm;Aerofotogrametria;211/2019;GEOJÁ;009/2019
MG;Belo Horizonte, Santa Luzia, Sabará, Nova Lima, Ibirité, Betim, Contagem, Ribeirão das Neves, Vespasiano;GSD 10 cm;Aerofotogrametria;286/2019;GEOJÁ;017/2019
MT;Campinápolis;GSD 2,7 cm;Aerofotogrametria e perfilamento a laser;218/2019;HELMERT;001/2019
RS;Rio Grande;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;095/2018;HIPARC;001/2018
MA;Cajapió, Matinha, Olinda Nova do Maranhão, São João Batista, São Vicente Ferrer, Viana;GSD 40 cm;Aerofotogrametria e Perfilamento a Laser;166/2018;HIPARC;004/2018
SP;Cotia, Embu das Artes, Embu-Guaçu, Itapecerica Serra , São Lourenço da Serra, São Paulo;GSD entre 10 cm e 40 cm;Aerofotogrametria;080/2019;HIPARC;003/2019
PE;Bom Jardim, Buenos Aires, Carpina, João Alfredo, Limoeiro, Vicência;1:50.000, 1:100.000;Aerofotogrametria e Perfilamento a Laser;043/2016;LASA;215001.1-EM
GO;Santa Rita do Novo Destino, Santa Isabel, Goianésia, Rialma, Nova Glória, São Luiz do Norte, Rianápolis e Jaraguá;1:100.000                                   e/ou                                1:50.000;Magnetométrico, eletromagnético e     sistema de vídeo ;046/2016;LASA;215023-EM
PA;Canaã dos Carajás;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;104/2016;LASA;601177-EM
CE;Bela Cruz, Camocim, Granja, Marco, Martinópole, Senador Sá, Uruoca;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;134/2016;LASA;501233-EM
PB;Curral Velho, Manaira, Pedra Branca, Princesa Isabel, Santana de Mangueira, São José de Princesa;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;134/2016;LASA;501233-EM
PE;Serra Talhada;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;134/2016;LASA;501233-EM
MA;Carutapera, Luis Domingues, Godofredo Viana, Cândido Mendes, Turiaçú, Amapá do Maranhão, Boa Vista do Gurupi, Junco;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;142/2016;LASA;511156-MG
PA;Viseu;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;142/2016;LASA;511156-MG
PB;Alcantil, Alhandra, Aroeiras, Barra de Santana, Caaporã, Gado Bravo, Juripiranga, Natuba, Pedras de Fogo, Santa Cecília, Umbuzeiro;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;155/2016;LASA;501233D-EM
PE;Aliança, Bezerros, Bom Jardim, Brejo da Madre de Deus, Buenos Aires, Camutanga, Carpina, Caruaru, Casinhas, Chã de Alegria, Chã Grande, Condado, Cumaru, Feira Nova, Ferreiros, Frei Miguelinho, Glória do Goitá, Goiana, Gravatá, Itambé, Itaquitinga, João Alfredo, Lagoa do Carro, Lagoa do Itaenga, Limoeiro, Macaparana, Machados, Nazaré da Mata, Orobó, Passira, Paudalho, Pombos, Riacho das Almas, Salgadinho, Santa Cruz do Capibaribe, Santa Maria do Cambucá, São Lourenço da Mata, São Vicente Ferrer, Surubim, Taquaritinga do Norte, Timbaúba, Toritama, Tracunhaém, Vertente do Lério, Vertentes, Vicência, Vitória de Santo Antão;Não aplicável;Aeromagnetométrico, Aeroeletromagnetométrico;155/2016;LASA;501233D-EM
MT;Castanheira, Juína;Não aplicável;Aeromagnetométrico, Aeroeletromagnético;078/2017;LASA;603949.a-EM
RS;São Gabriel, Lavras do Sul, Santa Margarida do Sul;Não aplicável;Aeromagnetométrico, Aeroeletromagnético;094/2017;LASA;603949.b-EM
MA;Carutapera, Luís Domingues, Godofredo Viana, Cândido Mendes, Turiaçu;Não aplicável;Aeromagnetométrico, Aeroeletromagnético;065/2017;LASA;700152-EM
MA;Carutapera, Luís Domingues, Godofredo Viana;Não aplicável;Aeromagnetométrico;066/2017;LASA;701488-EM
MG;Sabará, Caeté;Não aplicável;Geofísico;198/2017;LASA;703702
PA;Itaituba, Novo Progresso;Não Aplicável;Geofísico;118/2018;LASA;800872-EM/2018
GO;Mara Rosa, Alto Horizonte, Nova Iguaçu de Goiás;1:50.000;Geofísico;220/2018;LASA;701211-HMAG/2018
PA;São Félix do Xingu, Marabá;1:50.000;Geofísico;102/2018;LASA;704515/2018
MA;Barra do Corda, Itaipava do Grajaú, Jenipapo dos Vieiras, Lago da Pedra, Lagoa Grande do Maranhão, São Raimundo do Doca Bezerra, São Roberto, Colinas, Fernando Falcão, Mirador, Santa Filomena do Maranhão, São Domingos do Maranhão, Tuntum;1:50.000;Geofísico;056/2019;LASA;900156/2019
BA;Caculé, Caetité, Guanambi, Ibiassucê, Igaporã, Jacaraci, Lacínio de Almeida, Mortugaba, Pindaí, Urandi;1:50.000;Geofísico;100/2019;LASA;803688/2019
MG;Espinosa ;1:50.000;Geofísico;100/2019;LASA;803688/2019
SC;Gaspar;Não aplicável;Perfilamento a Laser;167/2017;MÉTRICA;002/2017
SC;São João Batista;1:5.000;Aerofotogrametria;036/2018;MÉTRICA;003/2018
SC;Passos Maia, Ponte Serrada ;GSD 40 cm;Aerofotogramétrico;005/2017;MÉTRICA;001/2017
PR;Piraquara;1:6.000;Aerofotogrametria;008/2018;MÉTRICA;001/2018
RS;Torres;GSD 10 cm;Aerofotogrametria;124/2018;MÉTRICA;004/2018
RJ;Guapimirim;GSD 15 cm;Aerofotogrametria;234/2018;MÉTRICA;007/2018
SC;Xanxerê;GSD 10 cm ;Aerofotogrametria;154/2018;MÉTRICA;006/2018
RJ;Teresópolis;GSD 12 cm;Aerofotogrametria;108/2019;MÉTRICA;001/2019
RS;Canela;GSD 10 cm;Aerofotogrametria;141/2019;MÉTRICA;006/2019
ES;Baixo Guandu;GSD 10 cm;Aerofotogrametria;120/2019;MÉTRICA;005/2019
ES;Alfredo Chaves;GSD 10 cm;Aerofotogrametria;121/2019;MÉTRICA;004/2019
ES;Baixo Guandu;GSD 10 cm;Aerofotogrametria;110/2019;MÉTRICA;003/2019
ES;Alfredo Chaves;GSD 10 cm;Aerofotogrametria;109/2019;MÉTRICA;002/2019
SC;Capão Alto, São José do Cerrito, Painel, Lages;GSD 40 cm;Aerofotogrametria;272/2019;MÉTRICA;008/2019
SP;Presidente Prudente;1:50.000;Aerofotogrametria e Perfilamento a Laser;002/2016;MICROSURVEY;MAGM 01/2015
BA;Sátiro Dias, Olindina, Alagoinhas;1:50.000;Geofísico;156/2018;MICROSURVEY;MAMG 01/2018
MT;Sapezal;GDS 10 cm;Aerofotogrametria e Perfilamento a Laser;003/2016;ROTORWEST;001/2016
DF;Brasília;Não aplicável;Perfilamento a Laser;004/2016;ROTORWEST;002/2016
GO;Pires do Rio;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;009/2016;ROTORWEST;004/2016
PR;Corumbataí do Sul, Nova Amoreira, Cantagalo, Colorado;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;013/2016;ROTORWEST;005/2016
GO;Goiânia, Aparecida de Goiânia, Senador Canedo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;031/2016;ROTORWEST;006/2016
PR;General Carneiro, Porto Vitória;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;032/2016;ROTORWEST;007/2016
PI;Parnaíba, Buriti dos Lopes;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;105/2016;ROTORWEST;012/2016
MA;Cana Brava, Santana do Maranhão, Barreirinhas, Humberto de Campos, Morros, Presidente Juscelino, Rosário, Bacabeira;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;105/2016;ROTORWEST;012/2016
PA;Xinguara, Rio Maria, Floresta do Araguaia;1:2.000;Aerofotogrametria e Perfilamento a Laser;094/2016;ROTORWEST;011/2016
PA;Canaã dos Carajás;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;124/2016;ROTORWEST;009/2016
SP;Mogi das Cruzes;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;126/2016;ROTORWEST;013/2016
SC;Curitibanos;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;001/2017;ROTORWEST;015/2016
SP;Poá;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;159/2017;ROTORWEST;005/2017
SC;Santa Cecília;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;174/2017;ROTORWEST;006/2017
SP;Nazaré Paulista;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;161/2017;ROTORWEST;007/2017
MG;São João do Paraíso;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;189/2017;ROTORWEST;008/2017
RS;São Francisco de Paula;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;190/2017;ROTORWEST;009/2017
SP;Tatuí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;193/2017;ROTORWEST;011/2017
RS;Gravataí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;194/2017;ROTORWEST;012/2017
SP;Boituva;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;195/2017;ROTORWEST;013/2017
MA;Estiva, Bacabeira, Santa Rita, Miranda do Norte, Chapadinha, Coelho Neto;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;127/2017;ROTORWEST;003/2017
PR;Guaíra, Francisco Alves, Saltinho do Oeste, Umuarama;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;127/2017;ROTORWEST;003/2017
SP;Santa Rosa de Viterbo;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;024/2018;ROTORWEST;010/2017
SP;Florínea;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;044/2018;ROTORWEST;001/2018
PR;Jardim Alegre;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;065/2018;ROTORWEST;012/2018
RJ;São José de Ubá;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;066/2018;ROTORWEST;013/2018
MT;Confresa;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;067/2018;ROTORWEST;014/2018
SP;Pedregulho;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;069/2018;ROTORWEST;010/2018
PR;Lunardelli;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;073/2018;ROTORWEST;006/2018
BA;Brumado;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;099/2018;ROTORWEST;018/2018
MG;Tapira;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;100/2018;ROTORWEST;016/2018
PE;Salgueiro;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;101/2018;ROTORWEST;015/2018
RJ;Porto Real;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;163/2018;ROTORWEST;026/2018
PR;Prudentópolis, Turvo, Guarapuava;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;057/2018;ROTORWEST;003/2018
MG;Carandaí;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;068/2018;ROTORWEST;009/2018
PR;Pitanga;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;074/2018;ROTORWEST;007/2018
SC;Ponte Alta  do Norte;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;075/2018;ROTORWEST;008/2018
SC;São Miguel do Oeste;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;077/2018;ROTORWEST;011/2018
RJ;São João da Barra, Campos dos Goytacazes;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;123/2018;ROTORWEST;019/2018
RJ;Duas Barras, Carmo;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;130/2018;ROTORWEST;022/2018
RN;Parazinho, São Tomé, Santa Cruz;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;134/2018;ROTORWEST;021/2018
PB;Santa Luzia;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;134/2018;ROTORWEST;021/2018
MA;Itapecuru Mirim, Anajatuba, Pirapemas, Vargem Grande;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;162/2018;ROTORWEST;025/2018
SP;Botucatu, Campinas;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;206/2018;ROTORWEST;027/2018
SP;Barretos;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;214/2018;ROTORWEST;031/2018
PR;Pinhão, Turvo, Inácio Martins, Cruz Machado, Clevelândia, Palmas, Mangueirinha, Honório Serpa, Coronel Domingos Soares;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;230/2018;ROTORWEST;030/2018
SP;Mirassol;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;231/2018;ROTORWEST;028/2018
PA;Juriti, Santarém;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;236/2018;ROTORWEST;032/2018
RJ;Casemiro de Abreu, Macaé;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;238/2018;ROTORWEST;033/2018
BA;Guanambi;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;245/2018;ROTORWEST;034/2018
SP;Ilha Bela;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;248/2018;ROTORWEST;032/2018
MG;Santa Bárbara;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser ;232/2018;ROTORWEST;029/2018
PR;Dois Vizinhos;GSD 10 cm;Aerofotogrametria e perfilamento a laser;098/2019;ROTORWEST;003/2019
MG;Bambuí;GSD 10 cm ;Aerofotogrametria e Perfilamento a Laser;045/2019;ROTORWEST;001/2019
PR;Prudentópolis;GSD 10 cm;Aerofotogrametria e Perfilamento a laser;097/2019;ROTORWEST;002/2019
BA;Juazeiro, Sobradinho;GSD 10 cm;Aerofotogrametria e Perfilamento a laser;099/2019;ROTORWEST;004/2019
CE;Itaitinga, Paracatuba, Aquiraz, Horizonte, Cascavel, Berberibe, Palhano, Aracati, Itaiçaba, Jaguaruana, Icapuí, Russas;GSD 10 cm;Perfilamento a Laser;151/2019;ROTORWEST;008/2019
RN;Tibau, Baraúna, Mossoró, Governador Dix-sep Rosado, Açu;GSD 10 cm;Perfilamento a Laser;151/2019;ROTORWEST;008/2019
SC;Porto União, Canoinhas, Três Barras, Mafra, Rio Negrinho, São Bento do Sul, Corupá, Jaraguá do Sul, Joinville, Schroeder, Guaramirim, Massaranduba, Anita Garibaldi, São João do Itaperiú, Barra Velha, Luiz Alves, Balneário Piçarras, Navegantes, Ilhota, Itajaí, Brusque, Blumenau, Gaspar, São João Batista, Canelinha, Biguaçu, Antonio Carlos, Pomerode, Timbó, Indaial, Rodeio, Ascurra, Apiúna, Ibirama, Lontras, Rio do Sul;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;085/2019;ROTORWEST;005/2019
PR;Pinhão, União da Vitória, Mallet, Paulo Frontin, São Mateus do Sul;GSD 10 cm;Aerofotogrametria e perfilamento a laser;085/2019;ROTORWEST;005/2019
SP;Cajati;GSD 10 cm;Perfilamento a Laser;173/2019;ROTORWEST;013/2019
PR;Mallet;GSD 10 cm;Aerofotogrametria e perfilamento a laser;217/2019;ROTORWEST;016/2019
PR;Imbituva;GSD 10 cm;Aerofotogrametria e perfilamento a laser;216/2019;ROTORWEST;014/2019
MG;Conselheiro Lafaiete;GSD 10 cm;Aerofotogrametria e perfilamento a laser;219/2019;ROTORWEST;015/2019
PR;Cruz Machado, União da Vitória , São Mateus do Sul;GSD 10 cm;Aerofotogrametria e perfilamento a laser;207/2019;ROTORWEST;011/2019
SC;Canoinhas, Três Barras, Mafra, Rio Negrinha, São Bento do Sul, Corupá, Jaraguá do Sul, Schoeder, Joinville, Massaranduba, Guaramirim, Blumenau, Gaspar, Luiz Alves, Itapema, Ibirama, Lontras, Rio de Sul, Presidente Getúlio, Ilhota, Barra Velha, Balneário Piçarras, Navegantes, Itajaí, Balneário Camboriú, Camboriú,  Itapema, Porto Belo, Tijucas, Biguaçu, Antiono Carlos, Canelinha, Brusque;GSD 10 cm ;Aerofotogrametria e perfilamento a laser;207/2019;ROTORWEST;011/2019
SP;Reservatórios das UHE's de Paraibuna e Jaguari;1:2.000;Aerofotogrametria e Perfilamento Laser;018/2016;SAI;001/2016
MG;Vespasiano, Lagoa Santa, Confins e Pedro Leopoldo ;1:2.000;Perfilamento a Laser e Aerofotogrametria;019/2016;SAI;002/2016
PR;Lapa e Porto do Amazonas;1:2.000;Aerofotogrametria e Perfilamento Laser;020/2016;SAI;003/2016
PA;Belterra, Santarém e Placas ;1:2.000;Aerofotogrametria e Perfilamento Laser;021/2016;SAI;004/2016
MT;União do Sul, Feliz Natal e Nova Ubiratã;1:2.000;Aerofotogrametria e Perfilamento Laser;021/2016;SAI;004/2016
PR;Capanema, Planalto, Realeza, Nova Prata do Iguaçu, Capitão Leônidas Marques;Não aplicável;Perfilamento a Laser;024/2016;SAI;005/2016
MT;Rosário Oestre e Planalto da Serra ;1:2.000;Aerofotogrametria e Perfilamento Laser;025/2016;SAI;006/2016
SP;Caraguatuba;1:2.000;Aerofotogrametria e Perfilamento Laser;027/2016;SAI;007/2016
 CE;Ipueiras, Poranga, Ipaporanga e Ararendá;1:2.000;Aerofotogrametria e Perfilamento Laser;033/2016;SAI;009/2016
RS;Santa Maria, São Martinho da Serra, Júlio de Castilhos, Quevedos, Tupanciretã, Jóia, Eugênio de Castro, Entre-Ijuís e Santo Ângelo ;1:2.000;Aerofotogrametria e Perfilamento Laser;055/2016;SAI;008/2016
CE;Sobral;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;059/2016;SAI;010/2016
MG;Sarzedo, Mario Campos, Betim, Contagem, Inhaúma, Esmeraldas, Sete Lagoas, Curvelo, Cordisburgo, Aracai, Paraopeba, Presidente Juscelino, Santana, Pirapama, Jequitibá, Baldim, Jaboticatubas, Taquaruçu de Minas, Nova União, Bom Jesus do Amparo, Itabira;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;063/2016;SAI;011/2016
MG;Pirapora, Várzea da Palma, Lassance, Corinto, Augusto Lima, Santo Hipólito, Curvelo, Inimutaba, Presidente Juscelino, Janaúba, Porteirinha, Riacho dos Machados, Grão Mogol, Padre Carvalho, Cristália, Josenópolis, Berilo, Virgem da Lapa, Coronel Murta, Araçuaí;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;064/2016;SAI;012/2016
SC;Camboriú, Balneário Camboriú, Itajaí e Itapema;1:6.000;Aerofotogrametria e Perfilamento a Laser;070/2016;SAI;013/2016
PI;Brejo do Piauí, Ribeira do Piauí e São João do Piauí;GSD 15 cm;Aerofogrametria e Perfilamento a Laser;080/2016;SAI;014/2016
MT;Nova Lacerda, Cáceres, Nossa Senhora do Livramento e Várzea Grande;1:2.000;Aerofotogrametria e Perfilamento a Laser;082/2016;SAI;015/2016
MT;Cuiabá, Acorizal, Jangada, Rosário Oeste e Nobres.;1:2.000;Aerofotogrametria e Perfilamento a Laser;084/2016;SAI;016/2016
SE;Riachão do Dantas, Tobias Barreto, Simão Dias, Itabaianinha;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;087/2016;SAI;017/2016
SP;Santo André, Cubatão;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;089/2016;SAI;018/2016
MG;Paracatu;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;095/2016;SAI;019/2016
SP;São Pedro, Piracicaba, Iracemápolis, Limeira, Santa Bárbara D'Oeste, Americana, Cosmópolis;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;106/2016;SAI;020/2016
SC;Vila São Pedro, São João do Sul, Passo de Torres, Santa Rosa do Sul, Sombrio, Ermo, Turvo, Meleiro, Forquilinha, Nova Veneza, Tubarão;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;110/2016;SAI;022/2016
RS;Xangri-Lá, Maquiné, Capão da Canoa, Terra de Areia, Três Forquilhas, Três Cachoeiras, Dom Pedro de Alcântara, Torres;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;110/2016;SAI;022/2016
PR;Dois Vizinhos, Cruzeiro do Iguaçu, São Jorge D'Oeste, Verê, São João do Sul;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;115/2016;SAI;021/2016
PE;Bezerros;GSD 12 cm;Aerofotogrametria e Perfilamento a Laser;123/2016;SAI;023/2016
MA;Fortaleza dos Nogueiras, Nova Colinas, Balsas;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;125/2016;SAI;024/2016
RJ;São João da Barra, Campos dos Goytacazes, Quissimã, Carapebus, Macaé;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;138/2016;SAI;025/2016
BA;Castro Alves, Sapeaçu, Conceição de Almeira, São Felipe, Dom Machado Costa, Santo Antônio de Jesus, Muniz Ferreira, Nazaré, Aratuipe, Jaguaripe, Vera Cruz;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;139/2016;SAI;026/2016
RJ;Carmo, Barra do Piraí, Piraí, Paracambi, Rio Claro;GSD 25 cm;Aerofotogrametria;153/2016;SAI;028/2016
SP;Jacareí, Santa Branca, Paraíbuna, Jambeiro;GSD 25 cm;Aerofotogrametria;153/2016;SAI;028/2016
MT;Araputanga, Jaurú, Indiavaí;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;159/2016;SAI;030/2016
MT;Diamantino, São José do Rio Claro, Sorriso;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;163/2016;SAI;032/2016
SP;Florínea, Tarumã, Assis, Platina, Echaporã, Marília, Júlio Mesquita, Guarantã, Cafelândia, Pongai, Nova Horizonte, Borborema;GSD 20 cm;Aerofotogrametria;164/2016;SAI;031/2016
MS;Aparecida do Taboado;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;166/2016;SAI;033/2016
MG;Iturama, Horonópolis, São Francisco de Sales, Itapagipe, Frutal;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;166/2016;SAI;033/2016
SP;Rubinéia, Santa Fé do Sul, Três Fronteiras, Santana da Ponte Pensa, Aspásia, Santa Salete, Urânia, Jales, Paranapuã, Dolcinópolis, Turmalina, Ouroeste, Indiaporã, Barretos, Colina, Bebedouro, Pitangueiras, Barrinha, Jaboticabal, Guariba, Santa Ernestina, Dobrada, Matão, Gavião Peixoto, Araraquara, Ribeirão Bonito, Brotas, Torrinha, São Pedro, Piracicaba, Santa Bárbara D'Oeste, Americana, Sumaré, Hortolândia, Campinas;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;166/2016;SAI;033/2016
RS;Lavras do Sul, Dom Pedrito;GSD 25 cm;Aerofotogrametria e Perfilamento a Laser;148/2016;SAI;027/2016
PA;Oriximiná, Terra Santa, Faro, Itaituba, Altamira;Não aplicável;Perfilamento a Laser;015/2017;SAI;001/2017
